method,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz,noise_pct
HDBSCAN_mcs4,2,56,0.1757,1.6314,3.9023,78.9
HDBSCAN_mcs3,4,39,0.1531,1.6498,4.224,54.9
KMeans_pca20_k10,10,0,0.1443,1.7075,5.0294,0.0
Agglomerative_average_k10,10,0,0.1427,1.5832,4.4753,0.0
Agglomerative_ward_k10,10,0,0.1324,1.7638,5.0114,0.0
KMeans_pca20_k9,9,0,0.1285,1.7906,4.9367,0.0
Agglomerative_average_k9,9,0,0.1275,1.6755,4.4332,0.0
HDBSCAN_mcs5,2,51,0.1241,2.0466,3.6488,71.8
Agglomerative_complete_k10,10,0,0.1172,1.8662,4.5373,0.0
Agglomerative_ward_k9,9,0,0.1129,1.8814,4.9676,0.0
KMeans_pca20_k7,7,0,0.1113,2.1353,5.2044,0.0
Agglomerative_average_k8,8,0,0.1103,1.7584,4.0644,0.0
KMeans_pca20_k8,8,0,0.1099,2.0001,4.8713,0.0
Agglomerative_complete_k9,9,0,0.1079,1.9304,4.3965,0.0
Agglomerative_complete_k8,8,0,0.1061,2.014,4.4046,0.0
Agglomerative_ward_k8,8,0,0.1043,2.0188,4.9778,0.0
Agglomerative_ward_k7,7,0,0.0933,2.0545,4.9776,0.0
Agglomerative_complete_k7,7,0,0.0918,2.1986,4.2655,0.0
Manual_Assignment,10,0,0.0863,1.8855,4.2824,0.0
Agglomerative_average_k7,7,0,0.0831,1.5967,3.3275,0.0
KMeans_pca50_k10,10,0,0.0645,2.2651,2.8218,0.0
KMeans_raw_k10,10,0,0.0577,2.4035,2.5938,0.0
KMeans_pca50_k8,8,0,0.0574,2.5188,2.8359,0.0
BERTopic_majority_vote,65,0,0.0566,0.321,6.581,0.0
KMeans_pca50_k9,9,0,0.0524,2.4352,2.7955,0.0
KMeans_pca50_k7,7,0,0.0473,2.6095,2.8505,0.0
KMeans_raw_k8,8,0,0.0469,2.859,2.5432,0.0
KMeans_raw_k9,9,0,0.0467,2.5402,2.5569,0.0
KMeans_raw_k7,7,0,0.0425,2.9234,2.6506,0.0
HDBSCAN_mcs6,0,71,,,,100.0
HDBSCAN_mcs7,0,71,,,,100.0
