top_k,system,coverage,balance_distortion,conciseness,inter_system_divergence
5,Baseline A,0.04,0.1,4.775295832804501,0.0890183130900065
5,Baseline B,0.07,0.21111111111111114,4.432727938495697,0.0890183130900065
5,System A,0.05333333333333334,0.16666666666666666,4.001923709718708,0.0890183130900065
5,System B,0.04000000000000001,0.08888888888888888,4.541195924058891,0.0890183130900065
5,System C,0.03666666666666667,0.10555555555555556,4.6541402119547,0.0890183130900065
10,Baseline A,0.011666666666666665,0.03888888888888888,4.625618578530188,0.07729331056276957
10,Baseline B,0.028333333333333335,0.1322222222222222,4.513796479776253,0.07729331056276957
10,System A,0.024999999999999998,0.10416666666666667,4.600938950770171,0.07729331056276957
10,System B,0.021666666666666667,0.18333333333333332,4.851646270685774,0.07729331056276957
10,System C,0.018333333333333333,0.11666666666666667,4.340859320844946,0.07729331056276957
15,Baseline A,0.025555555555555554,0.11833333333333333,4.488285858912895,0.0705208937327067
15,Baseline B,0.02222222222222222,0.13888888888888887,4.09681346647814,0.0705208937327067
15,System A,0.012222222222222223,0.05,4.422876875688653,0.0705208937327067
15,System B,0.018888888888888893,0.18333333333333332,4.374508063719236,0.0705208937327067
15,System C,0.02222222222222222,0.09444444444444446,4.373070405078564,0.0705208937327067
20,Baseline A,0.03083333333333333,0.12944444444444442,4.3035015282437525,0.06647437214851379
20,Baseline B,0.023333333333333338,0.22,4.190522103920106,0.06647437214851379
20,System A,0.018333333333333333,0.15,4.356599630549642,0.06647437214851379
20,System B,0.015833333333333335,0.19333333333333333,4.1625369779360035,0.06647437214851379
20,System C,0.015833333333333335,0.15833333333333333,4.154394807582085,0.06647437214851379
30,Baseline A,0.018888888888888893,0.15555555555555556,4.259606990537541,0.06704913973808288
30,Baseline B,0.018333333333333333,0.16944444444444445,4.433808017485435,0.06704913973808288
30,System A,0.03222222222222222,0.20103535353535354,4.333680489966318,0.06704913973808288
30,System B,0.01722222222222222,0.24166666666666667,4.447564743107616,0.06704913973808288
30,System C,0.012222222222222223,0.16666666666666666,4.412895721904578,0.06704913973808288
